symbol,name,sector,market_value,index_weight,amount_shares,isin,country
SGRO,SEGRO REIT PLC,Real Estate,15333414.66,0.04371,1466022,GB00B5ZN1N88,United Kingdom
7270,SUBARU CORP,Consumer Discretionary,15240710.75,0.04345,680900,JP3814800003,Japan
EDEN,EDENRED,Financials,15183085.31,0.04328,303559,FR0010908533,France
SUN,SUNCORP GROUP LTD,Financials,15120934.18,0.0431,1453408,AU000000SUN6,Australia
1216,UNI-PRESIDENT ENTERPRISES CORP,Consumer Staples,15115896.36,0.04309,6366292,TW0001216000,Taiwan
MT,ARCELORMITTAL SA,Materials,15083547.53,0.043,594775,LU1598757687,France
EPI A,EPIROC CLASS A,Industrials,15060717.56,0.04293,773633,SE0015658109,Sweden
8697,JAPAN EXCHANGE GROUP INC,Financials,15022119.32,0.04282,596200,JP3183200009,Japan
MTX,MTU AERO ENGINES HOLDING AG,Industrials,15015136.24,0.0428,66033,DE000A0D9PT0,Germany
9101,NIPPON YUSEN,Industrials,14999809.86,0.04276,566800,JP3753000003,Japan
1288,AGRICULTURAL BANK OF CHINA LTD H,Financials,14962001.14,0.04265,34162000,CNE100000Q43,China
2,CLP HOLDINGS LTD,Utilities,14725054.43,0.04198,1922000,HK0002007356,Hong Kong
WEGE3,WEG SA,Industrials,14721017.45,0.04196,2001677,BRWEGEACNOR0,Brazil
BNZL,BUNZL,Industrials,14695978.69,0.04189,397050,GB00B0744B38,United Kingdom
CARL B,CARLSBERG AS  CL B,Consumer Staples,14681927.47,0.04185,114336,DK0010181759,Denmark
B3SA3,B3 BRASIL BOLSA BALCAO SA,Financials,14658935.53,0.04179,6906543,BRB3SAACNOR6,Brazil
1150,ALINMA BANK,Financials,14636596.08,0.04172,1304152,SA122050HV19,Saudi Arabia
AKZA,AKZO NOBEL NV,Materials,14579671.42,0.04156,207001,NL0013267909,Netherlands
2899,ZIJIN MINING GROUP LTD H,Materials,14523331.91,0.0414,6426000,CNE100000502,China
