symbol,name,sector,market_value,index_weight,amount_shares,isin,country
ORBIA*,ORBIA ADVANCE CORP SA DE CV,Materials,4752633.26,0.03752,2464311,MX01OR010004,Mexico
SANB11,BANCO SANTANDER BRASIL UNITS SA,Financials,4746669.19,0.03748,939064,BRSANBCDAM13,Brazil
011070,LG INNOTEK LTD,Information Technology,4736115.81,0.03739,34847,KR7011070000,Korea (South)
CPLE6,CIA PARANAENSE DE ENERGIA COPEL PR,Utilities,4730025.82,0.03734,2686798,BRCPLEACNPB9,Brazil
4300,DAR AL ARKAN REAL ESTATE DEVELOPME,Real Estate,4718369.82,0.03725,1295721,SA11U0S23612,Saudi Arabia
SISE.E,TURKIYE SISE VE CAM FABRIKALARI A,Industrials,4717519.62,0.03725,3285531,TRASISEW91Q3,Turkey
PINFRA*,PROMOTORA Y OPERADORA DE INFRAESTR,Industrials,4706060.13,0.03715,460034,MX01PI000005,Mexico
TOP.R,THAI OIL NON-VOTING DR PCL,Energy,4692845.58,0.03705,2974900,TH0796010R11,Thailand
071050,KOREA INVESTMENT HOLDINGS LTD,Financials,4661861.25,0.03681,103568,KR7071050009,Korea (South)
PPH,PEPKOR HOLDINGS SHS LTD,Consumer Discretionary,4589100.88,0.03623,5088335,ZAE000259479,South Africa
000720,HYUNDAI ENGINEERING & CONSTRUCTION,Industrials,4537156.34,0.03582,192262,KR7000720003,Korea (South)
CPF.R,CHAROEN POKPHAND FOODS NON-VOTING,Consumer Staples,4509607.67,0.0356,9211500,TH0101010R14,Thailand
CDR,CD PROJEKT SA,Communication,4498536.18,0.03552,162091,PLOPTTC00011,Poland
CPAXT.R,CP AXTRA NON-VOTING DR PCL,Consumer Staples,4492078.6,0.03547,5285200,TH0429010R19,Thailand
INARI,INARI AMERTRON,Information Technology,4475400.44,0.03533,6732100,MYQ0166OO007,Malaysia
KLBF,KALBE FARMA,Health Care,4473429.55,0.03532,51136200,ID1000125107,Indonesia
8464,NIEN MADE ENTERPRISE  LTD,Consumer Discretionary,4443121.92,0.03508,390000,TW0008464009,Taiwan
CSNA3,COMPANHIA SIDERURGICA NACIONAL SA,Materials,4429060.39,0.03497,1635916,BRCSNAACNOR6,Brazil
JFC,JOLLIBEE FOODS CORP,Consumer Discretionary,4406467.24,0.03479,1119840,PHY4466S1007,Philippines
2382,ADES HOLDING CO,Energy,4402654.55,0.03476,822472,SA55SG6H5716,Saudi Arabia
2350,SAUDI KAYAN PETROCHEMICAL,Materials,4395781.78,0.03471,1769255,SA000A0MQCJ2,Saudi Arabia
YTL,YTL CORPORATION,Utilities,4360268.42,0.03442,8147400,MYL4677OO000,Malaysia
BERGEPAINT,BERGER PAINTS INDIA LTD,Materials,4356040.17,0.03439,705429,INE463A01038,India
036570,NCSOFT CORP,Communication,4350108.6,0.03434,35382,KR7036570000,Korea (South)
BEM.R,BANGKOK EXPRESSWAY AND METRO PCL N,Industrials,4329883.18,0.03418,19180600,TH6999010R15,Thailand
TEL,PLDT INC,Communication,4320450.15,0.03411,190035,PHY7072Q1032,Philippines
OUT,OUTSURANCE GROUP LTD,Financials,4313103.99,0.03405,2090900,ZAE000314084,South Africa
MER,MANILA ELECTRIC,Utilities,4299558.52,0.03395,702030,PHY5764J1483,Philippines
MABANEE,MABANEE COMPANY,Real Estate,4295813.3,0.03392,1697397,KW0EQ0400725,Kuwait
2633,TAIWAN HIGH SPEED RAIL CORP,Industrials,4290995.66,0.03388,4689000,TW0002633005,Taiwan
MAXIS,MAXIS,Communication,4287948.16,0.03385,5860400,MYL6012OO008,Malaysia
INDF,INDOFOOD SUKSES MAKMUR,Consumer Staples,4263984.54,0.03366,11260400,ID1000057003,Indonesia
RHBBANK,RHB BANK,Financials,4259014.53,0.03363,3717700,MYL1066OO009,Malaysia
9945,RUENTEX DEVELOPMENT LTD,Real Estate,4229960.21,0.0334,3753640,TW0009945006,Taiwan
CXSE3,CAIXA SEGURIDADE PARTICIPACOES SA,Financials,4229626.37,0.03339,1435939,BRCXSEACNOR7,Brazil
2610,CHINA AIRLINES LTD,Industrials,4222918.18,0.03334,6969000,TW0002610003,Taiwan
GENM,GENTING MALAYSIA,Consumer Discretionary,4222891.19,0.03334,7710000,MYL4715OO008,Malaysia
047050,POSCO INTERNATIONAL CORP,Industrials,4217809.68,0.0333,132211,KR7047050000,Korea (South)
CRC.R,CENTRAL RETAIL CORPORATION PCL NON,Consumer Discretionary,4205495.34,0.0332,4481900,TH9597010R14,Thailand
KIO,KUMBA IRON ORE LTD,Materials,4187255.7,0.03306,166250,ZAE000085346,South Africa
HMPRO.R,HOME PRODUCT CENTER NON-VOTING DR,Consumer Discretionary,4184778.68,0.03304,14653700,TH0661010R17,Thailand
BRPT,BARITO PACIFIC,Materials,4177491.25,0.03298,70386376,ID1000085707,Indonesia
IGL,INDRAPRASTHA GAS LTD,Utilities,4171898.4,0.03294,797042,INE203G01027,India
BRES,BARWA REAL ESTATE,Real Estate,4152626.5,0.03279,5210101,QA000A0KD6J5,Qatar
MDKA,MERDEKA COPPER GOLD,Materials,4150521.1,0.03277,24324159,ID1000134406,Indonesia
