symbol,name,sector,market_value,index_weight,amount_shares,isin,country
TVSMOTOR,TVS MOTOR COMPANY LTD,Consumer Discretionary,40659919.67,0.4343,1750391,INE494B01023,India
BPCL,BHARAT PETROLEUM LTD,Energy,39474309.71,0.42164,5593505,INE029A01011,India
DIVISLAB,DIVIS LABORATORIES LTD,Health Care,39068611.57,0.41731,880055,INE361B01024,India
PIDILITIND,PIDILITE INDUSTRIES LTD,Materials,38653103.75,0.41287,1124494,INE318A01026,India
INDUSINDBK,INDUSIND BANK LTD,Financials,38238387.63,0.40844,2166762,INE095A01012,India
CUMMINSIND,CUMMINS INDIA LTD,Industrials,38194880.13,0.40797,1021443,INE298A01020,India
LTIM,LTIMINDTREE LTD,Information Technology,36796049.41,0.39303,654476,INE214T01019,India
ICICIGI,ICICI LOMBARD GENERAL INSURANCE CO,Financials,36388508.58,0.38868,1777746,INE765G01017,India
NAUKRI,INFO EDGE INDIA LTD,Communication,35891150.93,0.38337,524432,INE663F01024,India
PERSISTENT,PERSISTENT SYSTEMS LTD,Information Technology,33889582.71,0.36199,736582,INE262H01021,India
SRF,SRF LTD,Materials,33076394.53,0.3533,1092278,INE647A01010,India
HAVELLS,HAVELLS INDIA LTD,Industrials,32999718.72,0.35248,1845754,INE176B01034,India
TIINDIA,TUBE INVESTMENTS OF INDIA LTD,Consumer Discretionary,32992997.22,0.35241,783837,INE974X01010,India
AMBUJACEM,AMBUJA CEMENTS LTD,Materials,32329999.81,0.34533,4390167,INE079A01024,India
SUZLON,SUZLON ENERGY LTD,Industrials,32036880.38,0.3422,65044015,INE040H01021,India
LUPIN,LUPIN LTD,Health Care,32013013.49,0.34194,1677844,INE326A01037,India
COLPAL,COLGATE PALMOLIVE INDIA LTD,Consumer Staples,32002182.14,0.34183,1002235,INE259A01022,India
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LTD,Financials,31968314.47,0.34147,707993,INE127D01025,India
VEDL,VEDANTA LTD,Materials,31847785.79,0.34018,6848811,INE205A01025,India
ABB,ABB INDIA LTD,Industrials,29766074.3,0.31794,390430,INE117A01022,India
MCDOWELL.N,UNITED SPIRITS LTD,Consumer Staples,29485823.95,0.31495,2144164,INE854D01024,India
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS,Industrials,28510767.85,0.30453,4502349,INE067A01029,India
JINDALSTEL,JINDAL STEEL AND POWER LTD,Materials,28489041.46,0.3043,2627535,INE749A01030,India
YESBANK,YES BANK LTD,Financials,28095372.61,0.3001,98211842,INE528G01035,India
GODREJPROP,GODREJ PROPERTIES LTD,Real Estate,28067055.0,0.2998,924061,INE484J01027,India
DABUR,DABUR INDIA LTD,Consumer Staples,27556175.18,0.29434,4569247,INE016A01026,India
PIIND,P.I. INDUSTRIES LTD,Materials,27357037.61,0.29221,614973,INE603J01030,India
BHARATFORG,BHARAT FORGE LTD,Consumer Discretionary,26750912.21,0.28574,1884116,INE465A01025,India
MRF,MRF LTD,Consumer Discretionary,26503314.28,0.28309,17134,INE883A01011,India
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONA,Consumer Discretionary,26279495.5,0.2807,17445795,INE775A01035,India
IDFCFIRSTB,IDFC FIRST BANK LTD,Financials,26048303.55,0.27823,26346708,INE092T01019,India
AUROPHARMA,AUROBINDO PHARMA LTD,Health Care,25876730.03,0.2764,1939797,INE406A01037,India
TATAMTRDVR,TATA MOTORS LTD CLASS A DVR,Consumer Discretionary,25827303.92,0.27587,3372840,IN9155A01020,India
PNB,PUNJAB NATIONAL BANK,Financials,25335707.22,0.27062,16338891,INE160A01022,India
LODHA,MACROTECH DEVELOPERS LTD,Real Estate,25129020.97,0.26841,1776999,INE670K01029,India
SONACOMS,SONA BLW PRECISION FORGINGS LTD,Consumer Discretionary,24519570.09,0.2619,3023643,INE073K01018,India
BANKBARODA,BANK OF BARODA LTD,Financials,24400076.23,0.26063,7870791,INE028A01039,India
HINDPETRO,HINDUSTAN PETROLEUM CORP LTD,Energy,23843099.2,0.25468,4173479,INE094A01015,India
ASTRAL,ASTRAL LTD,Industrials,23497851.77,0.25099,987777,INE006I01046,India
SUPREMEIND,SUPREME INDUSTRIES LTD,Materials,23471767.56,0.25071,467033,INE195A01028,India
BHEL,BHARAT HEAVY ELECTRICALS LTD,Industrials,23332125.61,0.24922,7698703,INE257A01026,India
MARICO,MARICO LTD,Consumer Staples,23095731.36,0.24669,3810351,INE196A01026,India
TORNTPHARM,TORRENT PHARMACEUTICALS LTD,Health Care,22761203.44,0.24312,746653,INE685A01028,India
TATAELXSI,TATA ELXSI LTD,Information Technology,22593710.97,0.24133,251906,INE670A01012,India
APLAPOLLO,APL APOLLO TUBES LTD,Materials,22447535.34,0.23977,1224436,INE702C01027,India
ASHOKLEY,ASHOK LEYLAND LTD,Industrials,21956363.22,0.23452,10809498,INE208A01029,India
NMDC,NMDC LTD,Materials,21281155.84,0.22731,7559357,INE584A01023,India
POLYCAB,POLYCAB INDIA LTD,Industrials,21142630.45,0.22583,331411,INE455K01017,India
IRCTC,INDIAN RAILWAY CATERING AND TOURIS,Industrials,20994258.42,0.22425,1766445,INE335Y01020,India
PETRONET,PETRONET LNG LTD,Energy,19947093.45,0.21306,5518228,INE347G01014,India
CONCOR,CONTAINER CORPORATION OF INDIA LTD,Industrials,19840051.58,0.21192,1793607,INE111A01025,India
SHREECEM,SHREE CEMENT LTD,Materials,19434844.52,0.20759,66475,INE070A01015,India
PAGEIND,PAGE INDUSTRIES LTD,Consumer Discretionary,19130357.05,0.20434,45203,INE761H01022,India
UPL,UPL LTD,Materials,18974407.49,0.20267,3313630,INE628A01036,India
UNIONBANK,UNION BANK OF INDIA LTD,Financials,18767021.77,0.20046,10999048,INE692A01016,India
BAJAJHLDNG,BAJAJ HOLDINGS AND INVESTMENT LTD,Financials,18660184.12,0.19932,196837,INE118A01012,India
TATACOMM,TATA COMMUNICATIONS LTD,Communication,18612182.44,0.1988,838670,INE151A01013,India
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE CO,Financials,18450863.65,0.19708,2558507,INE726G01019,India
SBICARD,SBI CARDS & PAYMENT SERVICES LTD,Financials,18228327.66,0.1947,2097670,INE018E01016,India
MUTHOOTFIN,MUTHOOT FINANCE LTD,Financials,17548274.73,0.18744,885482,INE414G01012,India
GMRINFRA,GMR AIRPORTS INFRASTRUCTURE LTD,Industrials,17038351.81,0.18199,17793630,INE776C01039,India
BALKRISIND,BALKRISHNA INDUSTRIES LTD,Consumer Discretionary,15876890.99,0.16959,568233,INE787D01026,India
MPHASIS,MPHASIS LTD,Information Technology,15513130.29,0.1657,554715,INE356A01018,India
JUBLFOOD,JUBILANT FOODWORKS LTD,Consumer Discretionary,15387363.03,0.16436,2909157,INE797F01020,India
BERGEPAINT,BERGER PAINTS INDIA LTD,Materials,13214332.7,0.14115,2139965,INE463A01038,India
BANDHANBNK,BANDHAN BANK LTD,Financials,12122948.6,0.12949,5844356,INE545U01014,India
IGL,INDRAPRASTHA GAS LTD,Utilities,12100081.91,0.12925,2311723,INE203G01027,India
AUBANK,AU SMALL FINANCE BANK LTD,Financials,9927876.06,0.10604,1335432,INE949L01017,India
PAYTM,ONE  COMMUNICATIONS LTD,Financials,8734541.62,0.0933,1878348,INE982J01020,India
