symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MRK,MERCK,Health Care,63255982.3,0.12364,404529,DE0006599905,Germany
SLHN,SWISS LIFE HOLDING AG,Financials,62861780.95,0.12287,94272,CH0014852781,Switzerland
DANSKE,DANSKE BANK,Financials,62682317.33,0.12252,2164379,DK0010274414,Denmark
6752,PANASONIC HOLDINGS CORP,Consumer Discretionary,61317851.33,0.11985,6913068,JP3866800000,Japan
NWG,NATWEST GROUP PLC,Financials,61308660.65,0.11983,17887331,GB00BM8PJY71,United Kingdom
VNA,VONOVIA SE,Real Estate,61087194.8,0.1194,2297766,DE000A1ML7J1,Germany
REP,REPSOL SA,Energy,60891754.88,0.11902,3798328,ES0173516115,Spain
STAN,STANDARD CHARTERED PLC,Financials,60599620.55,0.11845,7359733,GB0004082847,United Kingdom
CABK,CAIXABANK SA,Financials,60349192.24,0.11796,11740601,ES0140609019,Spain
GLE,SOCIETE GENERALE SA,Financials,60345658.85,0.11795,2291920,FR0000130809,France
6178,JAPAN POST HOLDINGS LTD,Financials,59956594.66,0.11719,6508100,JP3752900005,Japan
5401,NIPPON STEEL CORP,Materials,59957435.76,0.11719,2677135,JP3381000003,Japan
SAMPO,SAMPO,Financials,59664688.91,0.11662,1419373,FI4000552500,Finland
VOD,VODAFONE GROUP PLC,Communication,59088840.24,0.1155,71524671,GB00BH4HKS39,United Kingdom
GMAB,GENMAB,Health Care,59054722.42,0.11543,207337,DK0010272202,Denmark
KBC,KBC GROEP,Financials,58454559.92,0.11426,783694,BE0003565737,Belgium
IMB,IMPERIAL BRANDS PLC,Consumer Staples,58414350.67,0.11418,2684365,GB0004544929,United Kingdom
4452,KAO CORP,Consumer Staples,58237687.95,0.11383,1458300,JP3205800000,Japan
NOKIA,NOKIA,Information Technology,57714913.43,0.11281,16776966,FI0009000681,Finland
6762,TDK CORP,Information Technology,57647809.22,0.11268,1216900,JP3538800008,Japan
FER,FERROVIAL,Industrials,57444275.54,0.11228,1622831,NL0015001FS8,Spain
669,TECHTRONIC INDUSTRIES LTD,Industrials,57363738.38,0.11212,4315533,HK0669013440,Hong Kong
6920,LASERTEC CORP,Information Technology,57347544.06,0.11209,236400,JP3979200007,Japan
GEBN,GEBERIT AG,Industrials,57328373.75,0.11205,104767,CH0030170408,Switzerland
6594,NIDEC CORP,Industrials,57289915.6,0.11198,1308100,JP3734800000,Japan
LGEN,LEGAL AND GENERAL GROUP PLC,Financials,57070140.62,0.11155,18716753,GB0005603997,United Kingdom
8630,SOMPO HOLDINGS INC,Financials,56944262.57,0.1113,2869950,JP3165000005,Japan
9022,CENTRAL JAPAN RAILWAY,Industrials,56059314.47,0.10957,2417900,JP3566800003,Japan
7269,SUZUKI MOTOR CORP,Consumer Discretionary,55933107.84,0.10933,4919600,JP3397200001,Japan
UPM,UPM-KYMMENE,Materials,55736375.11,0.10894,1676526,FI0009005987,Finland
DNB,DNB BANK,Financials,55502390.11,0.10849,2897012,NO0010161896,Norway
6701,NEC CORP,Information Technology,55396698.46,0.10828,781900,JP3733000008,Japan
8604,NOMURA HOLDINGS INC,Financials,55206198.48,0.10791,9418800,JP3762600009,Japan
7733,OLYMPUS CORP,Health Care,53818259.01,0.10519,3764600,JP3201200007,Japan
4503,ASTELLAS PHARMA INC,Health Care,53752691.84,0.10507,5671450,JP3942400007,Japan
9020,EAST JAPAN RAILWAY,Industrials,53640856.91,0.10485,2847800,JP3783600004,Japan
QBE,QBE INSURANCE GROUP LTD,Financials,52655460.15,0.10292,4681887,AU000000QBE9,Australia
AER,AERCAP HOLDINGS NV,Industrials,52543416.66,0.1027,627459,NL0000687663,Netherlands
4578,OTSUKA HOLDINGS LTD,Health Care,52524318.84,0.10266,1311200,JP3188220002,Japan
2802,AJINOMOTO INC,Consumer Staples,52385228.78,0.10239,1469000,JP3119600009,Japan
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Consumer Discretionary,52052887.22,0.10174,533614,GB00BHJYC057,United Kingdom
2502,ASAHI GROUP HOLDINGS LTD,Consumer Staples,51941323.85,0.10152,1507400,JP3116000005,Japan
SWED A,SWEDBANK,Financials,51756735.78,0.10116,2657372,SE0000242455,Sweden
1925,DAIWA HOUSE INDUSTRY LTD,Real Estate,51734138.08,0.10112,1857300,JP3505000004,Japan
STMN,STRAUMANN HOLDING AG,Health Care,51545295.47,0.10075,349810,CH1175448666,Switzerland
UCB,UCB SA,Health Care,50701042.72,0.0991,396517,BE0003739530,Belgium
COLO B,COLOPLAST B,Health Care,50521258.48,0.09875,394753,DK0060448595,Denmark
STO,SANTOS LTD,Energy,50295337.26,0.09831,10165303,AU000000STO6,Australia
6971,KYOCERA CORP,Information Technology,50052956.51,0.09783,4018400,JP3249600002,Japan
ACA,CREDIT AGRICOLE SA,Financials,49675869.75,0.0971,3352746,FR0000045072,France
PHIA,KONINKLIJKE PHILIPS NV,Health Care,49309723.56,0.09638,2449130,NL0000009538,Netherlands
KNEBV,KONE,Industrials,49201956.06,0.09617,1068128,FI0009013403,Finland
6326,KUBOTA CORP,Industrials,49201125.3,0.09617,3138500,JP3266400005,Japan
HO,THALES SA,Industrials,49169924.89,0.09611,297231,FR0000121329,France
EBS,ERSTE GROUP BANK AG,Financials,48942845.37,0.09566,1076195,AT0000652011,Austria
AV.,AVIVA PLC,Financials,48698321.57,0.09519,8558456,GB00BPQY8M80,United Kingdom
SHL,SIEMENS HEALTHINEERS AG,Health Care,48287391.23,0.09438,885441,DE000SHL1006,Germany
JHX,JAMES HARDIE INDUSTRIES CDI PLC,Materials,47445477.98,0.09274,1365589,AU000000JHX1,Australia
CBK,COMMERZBANK AG,Financials,47049666.06,0.09196,3303800,DE000CBK1001,Germany
ERIC B,ERICSSON B,Information Technology,46912337.2,0.0917,9188721,SE0000108656,Sweden
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,Industrials,46882553.12,0.09164,170297,CH0025238863,Switzerland
CLNX,CELLNEX TELECOM SA,Communication,46787913.92,0.09145,1437304,ES0105066007,Spain
ALL,ARISTOCRAT LEISURE LTD,Consumer Discretionary,46770598.22,0.09142,1815960,AU000000ALL7,Australia
1605,INPEX CORP,Energy,46622724.26,0.09113,3037943,JP3294460005,Japan
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES,Information Technology,46590011.08,0.09107,294166,IL0010824113,Israel
HNR1,HANNOVER RUECK,Financials,46192957.47,0.09029,188730,DE0008402215,Germany
NICE,NICE LTD,Information Technology,46137552.36,0.09018,198603,IL0002730112,Israel
SY1,SYMRISE AG,Materials,45996057.68,0.0899,416665,DE000SYM9999,Germany
9735,SECOM LTD,Industrials,45830037.19,0.08958,658900,JP3421800008,Japan
SHB A,SVENSKA HANDELSBANKEN-A SHS,Financials,45668798.52,0.08926,4565336,SE0007100599,Sweden
BEI,BEIERSDORF AG,Consumer Staples,45585858.01,0.0891,315498,DE0005200000,Germany
MONC,MONCLER,Consumer Discretionary,45281254.99,0.08851,647405,IT0004965148,Italy
SGE,SAGE GROUP PLC,Information Technology,45036335.89,0.08803,3160423,GB00B8C3BL03,United Kingdom
SCMN,SWISSCOM AG,Communication,44988280.89,0.08793,80301,CH0008742519,Switzerland
TEVA,TEVA PHARMACEUTICAL INDUSTRIES ADR,Health Care,44893353.96,0.08775,3512782,US8816242098,Israel
7182,JAPAN POST BANK LTD,Financials,44820902.18,0.08761,4512000,JP3946750001,Japan
Z74,SINGAPORE TELECOMMUNICATIONS LTD,Communication,44409799.46,0.0868,25844985,SG1T75931496,Singapore
ESSITY B,ESSITY CLASS B,Consumer Staples,44324683.39,0.08664,1915362,SE0009922164,Sweden
PRY,PRYSMIAN,Industrials,44202398.59,0.0864,826029,IT0004176001,Italy
VACN,VAT GROUP AG,Industrials,43862156.34,0.08573,84724,CH0311864901,Switzerland
BXB,BRAMBLES LTD,Industrials,43800256.79,0.08561,4355486,AU000000BXB1,Australia
AENA,AENA SME SA,Industrials,43734613.21,0.08548,235345,ES0105046009,Spain
COL,COLES GROUP LTD,Consumer Staples,43666526.19,0.08535,4199777,AU0000030678,Australia
SOON,SONOVA HOLDING AG,Health Care,43649154.04,0.08532,160082,CH0012549785,Switzerland
8308,RESONA HOLDINGS INC,Financials,43091996.77,0.08423,6663100,JP3500610005,Japan
8267,AEON LTD,Consumer Staples,43048020.05,0.08414,2033700,JP3388200002,Japan
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,43041781.8,0.08413,646273,GB00BDCPN049,Netherlands
7270,SUBARU CORP,Consumer Discretionary,42769790.14,0.0836,1910800,JP3814800003,Japan
8309,SUMITOMO MITSUI TRUST HOLDINGS INC,Financials,42718636.18,0.0835,2050720,JP3892100003,Japan
PNDORA,PANDORA,Consumer Discretionary,42585034.88,0.08324,277528,DK0060252690,Denmark
INF,INFORMA PLC,Communication,42491677.8,0.08305,4337170,GB00BMJ6DW54,United Kingdom
COH,COCHLEAR LTD,Health Care,42247752.86,0.08258,205912,AU000000COH5,Australia
SGSN,SGS SA,Industrials,42171428.57,0.08243,469080,CH1256740924,Switzerland
5020,ENEOS HOLDINGS INC,Energy,42042751.5,0.08218,9016450,JP3386450005,Japan
KRX,KINGSPAN GROUP PLC,Industrials,42012928.9,0.08212,487071,IE0004927939,Ireland
6988,NITTO DENKO CORP,Materials,41768717.87,0.08164,457400,JP3684000007,Japan
NXT,NEXT PLC,Consumer Discretionary,41744830.71,0.08159,379264,GB0032089863,United Kingdom
KYGA,KERRY GROUP PLC,Consumer Staples,41624118.92,0.08136,494162,IE0004906560,Ireland
SGRO,SEGRO REIT PLC,Real Estate,41615319.28,0.08134,3978825,GB00B5ZN1N88,United Kingdom
SUN,SUNCORP GROUP LTD,Financials,41417086.49,0.08095,3980966,AU000000SUN6,Australia
6201,TOYOTA INDUSTRIES CORP,Industrials,41232077.61,0.08059,459000,JP3634600005,Japan
HEI,HEIDELBERG MATERIALS AG,Materials,41075491.63,0.08029,407922,DE0006047004,Germany
8015,TOYOTA TSUSHO CORP,Industrials,41043851.9,0.08022,665800,JP3635000007,Japan
1928,SEKISUI HOUSE LTD,Consumer Discretionary,40866209.22,0.07988,1878400,JP3420600003,Japan
MT,ARCELORMITTAL SA,Materials,40719022.75,0.07959,1605634,LU1598757687,France
16,SUN HUNG KAI PROPERTIES LTD,Real Estate,40637549.4,0.07943,4546500,HK0016000132,Hong Kong
RTO,RENTOKIL INITIAL PLC,Industrials,40624708.31,0.07941,7905567,GB00B082RF11,United Kingdom
LOGN,LOGITECH INTERNATIONAL SA,Information Technology,40593498.78,0.07934,515386,CH0025751329,Switzerland
HEN3,HENKEL & KGAA PREF AG,Consumer Staples,40585683.98,0.07933,529749,DE0006048432,Germany
SDZ,SANDOZ GROUP AG,Health Care,40377102.07,0.07892,1283204,CH1243598427,Switzerland
EPI A,EPIROC CLASS A,Industrials,40355647.77,0.07888,2072973,SE0015658109,Sweden
9101,NIPPON YUSEN,Industrials,39891872.59,0.07797,1507400,JP3753000003,Japan
8697,JAPAN EXCHANGE GROUP INC,Financials,39603769.12,0.07741,1571800,JP3183200009,Japan
CARL B,CARLSBERG AS  CL B,Consumer Staples,39578899.46,0.07736,308222,DK0010181759,Denmark
LISN,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,39564740.71,0.07733,345,CH0010570759,Switzerland
2,CLP HOLDINGS LTD,Utilities,39428976.38,0.07707,5146500,HK0002007356,Hong Kong
EDEN,EDENRED,Financials,39172749.23,0.07657,783190,FR0010908533,France
BNZL,BUNZL,Industrials,39161294.75,0.07654,1058044,GB00B0744B38,United Kingdom
NN,NN GROUP NV,Financials,38646611.81,0.07554,849594,NL0010773842,Netherlands
MTX,MTU AERO ENGINES HOLDING AG,Industrials,38487528.12,0.07523,169259,DE000A0D9PT0,Germany
1,CK HUTCHISON HOLDINGS LTD,Industrials,38354869.47,0.07497,8402184,KYG217651051,Hong Kong
EDP,EDP ENERGIAS DE PORTUGAL SA,Utilities,38115105.23,0.0745,9821625,PTEDP0AM0009,Portugal
KPN,KONINKLIJKE KPN NV,Communication,37908544.19,0.0741,10528708,NL0000009082,Netherlands
AKZA,AKZO NOBEL NV,Materials,37657489.39,0.07361,534658,NL0013267909,Netherlands
FRE,FRESENIUS SE AND CO KGAA,Health Care,37544857.66,0.07339,1322146,DE0005785604,Germany
4507,SHIONOGI LTD,Health Care,37545095.55,0.07339,812400,JP3347200002,Japan
7309,SHIMANO INC,Consumer Discretionary,37173768.8,0.07266,240100,JP3358000002,Japan
8113,UNICHARM CORP,Consumer Staples,36961547.62,0.07225,1264700,JP3951600000,Japan
NESTE,NESTE,Energy,36402266.8,0.07115,1324143,FI0009013296,Finland
BESI,BE SEMICONDUCTOR INDUSTRIES NV,Information Technology,35621080.4,0.06963,241283,NL0012866412,Netherlands
LUMI,BANK LEUMI LE ISRAEL,Financials,35606923.92,0.0696,4772586,IL0006046119,Israel
SK3,SMURFIT KAPPA GROUP PLC,Materials,35517443.67,0.06942,816973,IE00B1RR8406,Ireland
NST,NORTHERN STAR RESOURCES LTD,Materials,35509762.39,0.06941,3607242,AU000000NST8,Australia
7832,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary,35194919.97,0.06879,1878500,JP3778630008,Japan
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,Consumer Discretionary,35193485.53,0.06879,2236200,JP3407400005,Japan
BIRG,BANK OF IRELAND GROUP PLC,Financials,35093652.78,0.06859,3286904,IE00BD1RP616,Ireland
9843,NITORI HOLDINGS LTD,Consumer Discretionary,35069995.15,0.06855,251400,JP3756100008,Japan
